id,name,born,unique_category,unique_year,gender,country_name
280,George A. Olah,1927-05-22,chemistry,1994,male,Hungary
281,Paul J. Crutzen,1933-12-03,chemistry,1995,male,the Netherlands
282,Mario J. Molina,1943-03-19,chemistry,1995,male,Mexico
283,F. Sherwood Rowland,1927-06-28,chemistry,1995,male,USA
284,Robert F. Curl Jr.,1933-08-23,chemistry,1996,male,USA
285,Sir Harold Kroto,1939-10-07,chemistry,1996,male,United Kingdom
286,Richard E. Smalley,1943-06-06,chemistry,1996,male,USA
287,Paul D. Boyer,1918-07-31,chemistry,1997,male,USA
288,John E. Walker,1941-01-07,chemistry,1997,male,United Kingdom
289,Jens C. Skou,1918-10-08,chemistry,1997,male,Faroe Islands (Denmark)
290,Walter Kohn,1923-03-09,chemistry,1998,male,Austria
291,John Pople,1925-10-31,chemistry,1998,male,United Kingdom
292,Ahmed Zewail,1946-02-26,chemistry,1999,male,Egypt
293,Emil von Behring,1854-03-15,medicine,1901,male,Prussia
294,Ronald Ross,1857-05-13,medicine,1902,male,India
295,Niels Ryberg Finsen,1860-12-15,medicine,1903,male,Faroe Islands (Denmark)
296,Ivan Pavlov,1849-09-14,medicine,1904,male,USSR
297,Robert Koch,1843-12-11,medicine,1905,male,Württemberg
298,Camillo Golgi,1843-07-07,medicine,1906,male,Tuscany
299,Santiago Ramón y Cajal,1852-05-01,medicine,1906,male,Spain
300,Alphonse Laveran,1845-06-18,medicine,1907,male,France
301,Ilya Mechnikov,1845-05-15,medicine,1908,male,Ukraine
302,Paul Ehrlich,1854-03-14,medicine,1908,male,Prussia
303,Theodor Kocher,1841-08-25,medicine,1909,male,Switzerland
304,Albrecht Kossel,1853-09-16,medicine,1910,male,Württemberg
305,Allvar Gullstrand,1862-06-05,medicine,1911,male,Sweden
306,Alexis Carrel,1873-06-28,medicine,1912,male,France
307,Charles Richet,1850-08-26,medicine,1913,male,France
308,Robert Bárány,1876-04-22,medicine,1914,male,Austria
309,Jules Bordet,1870-06-13,medicine,1919,male,Belgium
310,August Krogh,1874-11-15,medicine,1920,male,Faroe Islands (Denmark)
311,Archibald V. Hill,1886-09-26,medicine,1922,male,United Kingdom
312,Otto Meyerhof,1884-04-12,medicine,1922,male,Württemberg
313,Frederick G. Banting,1891-11-14,medicine,1923,male,Canada
314,John Macleod,1876-09-06,medicine,1923,male,United Kingdom
315,Willem Einthoven,1860-05-21,medicine,1924,male,"Java, Dutch East Indies"
316,Johannes Fibiger,1867-04-23,medicine,1926,male,Faroe Islands (Denmark)
317,Julius Wagner-Jauregg,1857-03-07,medicine,1927,male,Austria
318,Charles Nicolle,1866-09-21,medicine,1928,male,France
319,Christiaan Eijkman,1858-08-11,medicine,1929,male,the Netherlands
320,Sir Frederick Hopkins,1861-06-20,medicine,1929,male,United Kingdom
321,Karl Landsteiner,1868-06-14,medicine,1930,male,Austria
322,Otto Warburg,1883-10-08,medicine,1931,male,Württemberg
323,Sir Charles Sherrington,1857-11-27,medicine,1932,male,United Kingdom
324,Edgar Adrian,1889-11-30,medicine,1932,male,United Kingdom
325,Thomas H. Morgan,1866-09-25,medicine,1933,male,USA
326,George H. Whipple,1878-08-28,medicine,1934,male,USA
327,George R. Minot,1885-12-02,medicine,1934,male,USA
328,William P. Murphy,1892-02-06,medicine,1934,male,USA
329,Hans Spemann,1869-06-27,medicine,1935,male,Württemberg
330,Sir Henry Dale,1875-06-09,medicine,1936,male,United Kingdom
331,Otto Loewi,1873-06-03,medicine,1936,male,Württemberg
332,Albert Szent-Györgyi,1893-09-16,medicine,1937,male,Hungary
333,Corneille Heymans,1892-03-28,medicine,1938,male,Belgium
334,Gerhard Domagk,1895-10-30,medicine,1939,male,Prussia
335,Henrik Dam,1895-02-21,medicine,1943,male,Faroe Islands (Denmark)
336,Edward A. Doisy,1893-11-13,medicine,1943,male,USA
337,Joseph Erlanger,1874-01-05,medicine,1944,male,USA
338,Herbert S. Gasser,1888-07-05,medicine,1944,male,USA
339,Sir Alexander Fleming,1881-08-06,medicine,1945,male,United Kingdom
340,Ernst B. Chain,1906-06-19,medicine,1945,male,Württemberg
341,Sir Howard Florey,1898-09-24,medicine,1945,male,Australia
342,Hermann J. Muller,1890-12-21,medicine,1946,male,USA
343,Carl Cori,1896-12-05,medicine,1947,male,Hungarian Empire
344,Gerty Cori,1896-08-15,medicine,1947,female,Hungarian Empire
345,Bernardo Houssay,1887-04-10,medicine,1947,male,Argentina
346,Paul Müller,1899-01-12,medicine,1948,male,Switzerland
347,Walter Hess,1881-03-17,medicine,1949,male,Switzerland
348,Egas Moniz,1874-11-29,medicine,1949,male,Portugal
349,Edward C. Kendall,1886-03-08,medicine,1950,male,USA
350,Tadeus Reichstein,1897-07-20,medicine,1950,male,Prussia
351,Philip S. Hench,1896-02-28,medicine,1950,male,USA
352,Max Theiler,1899-01-30,medicine,1951,male,Union of South Africa
353,Selman A. Waksman,1888-07-22,medicine,1952,male,Ukraine
354,Hans Krebs,1900-08-25,medicine,1953,male,Württemberg
355,Fritz Lipmann,1899-06-12,medicine,1953,male,USSR
356,John F. Enders,1897-02-10,medicine,1954,male,USA
357,Thomas H. Weller,1915-06-15,medicine,1954,male,USA
358,Frederick C. Robbins,1916-08-25,medicine,1954,male,USA
359,Hugo Theorell,1903-07-06,medicine,1955,male,Sweden
360,André F. Cournand,1895-09-24,medicine,1956,male,France
361,Werner Forssmann,1904-08-29,medicine,1956,male,Württemberg
362,Dickinson W. Richards,1895-10-30,medicine,1956,male,USA
363,Daniel Bovet,1907-03-23,medicine,1957,male,Switzerland
364,George Beadle,1903-10-22,medicine,1958,male,USA
365,Edward Tatum,1909-12-14,medicine,1958,male,USA
366,Joshua Lederberg,1925-05-23,medicine,1958,male,USA
367,Severo Ochoa,1905-09-24,medicine,1959,male,Spain
368,Arthur Kornberg,1918-03-03,medicine,1959,male,USA
369,Sir Frank Macfarlane Burnet,1899-09-03,medicine,1960,male,Australia
370,Peter Medawar,1915-02-28,medicine,1960,male,Korea
371,Georg von Békésy,1899-06-03,medicine,1961,male,Hungary
372,Francis Crick,1916-06-08,medicine,1962,male,United Kingdom
373,James Watson,1928-04-06,medicine,1962,male,USA
374,Maurice Wilkins,1916-12-15,medicine,1962,male,New Zealand
375,Sir John Eccles,1903-01-27,medicine,1963,male,Australia
376,Alan Hodgkin,1914-02-05,medicine,1963,male,United Kingdom
377,Andrew Huxley,1917-11-22,medicine,1963,male,United Kingdom
378,Konrad Bloch,1912-01-21,medicine,1964,male,Prussia
379,Feodor Lynen,1911-04-06,medicine,1964,male,Württemberg
380,François Jacob,1920-06-17,medicine,1965,male,France
381,André Lwoff,1902-05-08,medicine,1965,male,France
382,Jacques Monod,1910-02-09,medicine,1965,male,France
383,Peyton Rous,1879-10-05,medicine,1966,male,USA
384,Charles B. Huggins,1901-09-22,medicine,1966,male,Canada
385,Ragnar Granit,1900-10-30,medicine,1967,male,Finland
386,Keffer Hartline,1903-12-22,medicine,1967,male,USA
387,George Wald,1906-11-18,medicine,1967,male,USA
388,Robert W. Holley,1922-01-28,medicine,1968,male,USA
389,H. Gobind Khorana,1922-01-09,medicine,1968,male,India
390,Marshall W. Nirenberg,1927-04-10,medicine,1968,male,USA
391,Max Delbrück,1906-09-04,medicine,1969,male,Württemberg
392,Alfred D. Hershey,1908-12-04,medicine,1969,male,USA
393,Salvador E. Luria,1912-08-13,medicine,1969,male,Tuscany
394,Sir Bernard Katz,1911-03-26,medicine,1970,male,Württemberg
395,Ulf von Euler,1905-02-07,medicine,1970,male,Sweden
396,Julius Axelrod,1912-05-30,medicine,1970,male,USA
397,"Earl W. Sutherland, Jr.",1915-11-19,medicine,1971,male,USA
398,Gerald M. Edelman,1929-07-01,medicine,1972,male,USA
399,Rodney R. Porter,1917-10-08,medicine,1972,male,United Kingdom
400,Karl von Frisch,1886-11-20,medicine,1973,male,Austria
401,Konrad Lorenz,1903-11-07,medicine,1973,male,Austria
402,Nikolaas Tinbergen,1907-04-15,medicine,1973,male,the Netherlands
403,Albert Claude,1898-08-24,medicine,1974,male,Belgium
404,Christian de Duve,1917-10-02,medicine,1974,male,United Kingdom
405,George E. Palade,1912-11-19,medicine,1974,male,Romania
406,David Baltimore,1938-03-07,medicine,1975,male,USA
407,Renato Dulbecco,1914-02-22,medicine,1975,male,Tuscany
408,Howard M. Temin,1934-12-10,medicine,1975,male,USA
409,Baruch S. Blumberg,1925-07-28,medicine,1976,male,USA
410,D. Carleton Gajdusek,1923-09-09,medicine,1976,male,USA
411,Roger Guillemin,1924-01-11,medicine,1977,male,France
412,Andrew V. Schally,1926-11-30,medicine,1977,male,Lithuania
413,Rosalyn Yalow,1921-07-19,medicine,1977,female,USA
414,Werner Arber,1929-06-03,medicine,1978,male,Switzerland
415,Daniel Nathans,1928-10-30,medicine,1978,male,USA
416,Hamilton O. Smith,1931-08-23,medicine,1978,male,USA
417,Allan M. Cormack,1924-02-23,medicine,1979,male,Union of South Africa
418,Godfrey N. Hounsfield,1919-08-28,medicine,1979,male,United Kingdom
419,Baruj Benacerraf,1920-10-29,medicine,1980,male,Venezuela
420,Jean Dausset,1916-10-19,medicine,1980,male,France
421,George D. Snell,1903-12-19,medicine,1980,male,USA
422,Roger W. Sperry,1913-08-20,medicine,1981,male,USA
423,David H. Hubel,1926-02-27,medicine,1981,male,Canada
424,Torsten N. Wiesel,1924-06-03,medicine,1981,male,Sweden
425,Sune K. Bergström,1916-01-10,medicine,1982,male,Sweden
426,Bengt I. Samuelsson,1934-05-21,medicine,1982,male,Sweden
427,John R. Vane,1927-03-29,medicine,1982,male,United Kingdom
428,Barbara McClintock,1902-06-16,medicine,1983,female,USA
429,Niels K. Jerne,1911-12-23,medicine,1984,male,United Kingdom
430,Georges J.F. Köhler,1946-04-17,medicine,1984,male,Württemberg
431,César Milstein,1927-10-08,medicine,1984,male,Argentina
432,Michael S. Brown,1941-04-13,medicine,1985,male,USA
433,Joseph L. Goldstein,1940-04-18,medicine,1985,male,USA
434,Stanley Cohen,1922-11-17,medicine,1986,male,USA
435,Rita Levi-Montalcini,1909-04-22,medicine,1986,female,Tuscany
436,Susumu Tonegawa,1939-09-05,medicine,1987,male,Japan
